2025-08-16 15:48:08,418 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:49:56,100 - INFO - ============================================================
2025-08-16 15:49:56,110 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:49:56,110 - INFO - 清空基金基本信息...
2025-08-16 15:49:56,188 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:03,010 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:03,035 - ERROR - ✗ 插入基金基本信息失败: 'stock_code'
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - 📊 本周数据更新统计
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - ⏱️  更新耗时: 0:00:06.937023
2025-08-16 15:50:03,038 - INFO - ✅ 无错误
2025-08-16 15:50:03,038 - INFO - ============================================================
2025-08-16 15:50:03,038 - INFO - 🎉 本周数据更新完成！
2025-08-16 15:50:03,038 - INFO - 数据库连接已关闭
2025-08-16 15:50:03,039 - INFO - ✅ 每周数据更新成功完成
2025-08-16 15:50:48,059 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:50:48,059 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:50:48,060 - INFO - ============================================================
2025-08-16 15:50:48,060 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:50:48,060 - INFO - 清空基金基本信息...
2025-08-16 15:50:48,177 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:55,108 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:55,471 - WARNING - 处理基金 000363 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,473 - WARNING - 处理基金 000366 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,474 - WARNING - 处理基金 000367 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,479 - WARNING - 处理基金 000368 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,482 - WARNING - 处理基金 000369 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,485 - WARNING - 处理基金 000370 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,487 - WARNING - 处理基金 000371 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,488 - WARNING - 处理基金 000372 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,493 - WARNING - 处理基金 000373 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,496 - WARNING - 处理基金 000376 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,500 - WARNING - 处理基金 000377 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,502 - WARNING - 处理基金 000378 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,503 - WARNING - 处理基金 000379 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,508 - WARNING - 处理基金 000380 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,511 - WARNING - 处理基金 000381 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,514 - WARNING - 处理基金 000385 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,518 - WARNING - 处理基金 000386 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,521 - WARNING - 处理基金 000389 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,522 - WARNING - 处理基金 000390 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,526 - WARNING - 处理基金 000394 失败: (1406, "Data too long for column 'fund_type' at row 1")
