stock_code,trade_date,close,pre_close,prev_close,change_pct,change_amount,adj_factor,prev_f,prev_date,data_source,domain,same_factor,eq_violated,judgement,dev
920599,2018-09-25,2.900,1.800,1.800,61.1111,1.100,1.00000000,1.00000000,2018-09-21,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2019-12-13,5.070,2.610,2.610,94.2529,2.460,1.00000000,1.00000000,2019-12-10,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2019-12-23,8.740,5.150,5.150,69.7087,3.590,1.00000000,1.00000000,2019-12-17,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2020-01-08,4.680,8.000,8.000,-41.5000,-3.320,1.00000000,1.00000000,2020-01-07,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2020-01-09,6.310,4.680,4.680,34.8291,1.630,1.00000000,1.00000000,2020-01-08,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2020-01-10,8.510,6.310,6.310,34.8653,2.200,1.00000000,1.00000000,2020-01-09,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2020-02-28,0.000,,9.980,-100.0000,,1.00000000,1.00000000,2020-02-26,SINA,seg_4_8_92,True,False,possible_legal,
920599,2020-05-27,5.000,12.000,12.000,-58.3333,-7.000,1.00000000,1.00000000,2020-05-26,SINA,seg_4_8_92,True,False,possible_legal,0.0
920608,2020-06-01,5.280,,,-42.3000,-3.870,,,,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-06-24,9.160,,5.280,73.4800,3.880,,,2021-04-30,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-07-01,5.350,,9.160,-41.5900,-3.810,,,2021-06-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-09-06,7.150,,5.350,33.6400,1.800,,,2021-07-01,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-09-28,13.150,,7.150,83.9200,6.000,,,2021-09-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-10-11,22.480,,13.150,70.9500,9.330,,,2021-09-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-12-06,23.100,,15.140,52.5800,7.960,,,2021-12-02,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-12-13,15.030,,23.050,-34.7900,-8.020,,,2021-12-09,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2021-12-15,23.160,,16.040,44.3900,7.120,,,2021-12-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920608,2022-01-04,24.130,,18.160,32.8700,5.970,,,2021-12-30,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2015-07-16,0.090,,,-98.3900,-5.490,,,,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2015-07-30,0.120,,0.080,50.0000,0.040,,,2015-07-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2015-09-08,1.780,,0.120,1383.3300,1.660,,,2015-07-30,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2015-09-11,3.280,,1.780,84.2700,1.500,,,2015-09-09,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2015-09-18,5.220,,3.280,59.1500,1.940,,,2015-09-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2017-04-27,2.700,,5.130,-47.3700,-2.430,,,2017-01-20,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2017-04-28,5.380,,2.700,99.2600,2.680,,,2017-04-27,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2017-10-20,11.480,,5.380,113.3800,6.100,,,2017-08-25,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2017-12-22,5.780,,11.480,-49.6500,-5.700,,,2017-10-20,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2017-12-25,2.910,,5.780,-49.6500,-2.870,,,2017-12-22,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-03-11,4.630,,2.910,59.1100,1.720,,,2018-02-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-04-01,4.310,,3.110,38.5900,1.200,,,2020-03-31,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-09-09,8.310,,6.330,31.2800,1.980,,,2020-09-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-09-22,8.470,,6.010,40.9300,2.460,,,2020-09-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-10-14,5.210,,8.310,-37.3000,-3.100,,,2020-09-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2020-10-19,8.000,,5.210,53.5500,2.790,,,2020-10-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2021-10-27,9.780,,15.580,-37.2300,-5.800,,,2021-10-25,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2021-11-01,14.580,,9.780,49.0800,4.800,,,2021-10-27,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2021-12-10,25.860,,18.630,38.8100,7.230,,,2021-12-09,AKSHARE,seg_4_8_92,False,False,possible_legal,
920627,2022-04-29,19.340,,14.580,32.6500,4.760,,,2022-04-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2018-11-27,1.020,,,-88.7900,-8.080,,,,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-03-09,2.570,,1.020,151.9600,1.550,,,2018-11-27,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-03-10,5.470,,2.570,112.8400,2.900,,,2021-03-09,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-07-13,2.500,,5.470,-54.3000,-2.970,,,2021-05-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-07-23,1.520,,2.500,-39.2000,-0.980,,,2021-07-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-09-03,3.470,,1.520,128.2900,1.950,,,2021-07-23,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-09-06,5.590,,3.470,61.1000,2.120,,,2021-09-03,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-11-23,9.080,,6.760,34.3200,2.320,,,2021-11-22,AKSHARE,seg_4_8_92,False,False,possible_legal,
920634,2021-11-25,10.260,,7.500,36.8000,2.760,,,2021-11-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-03-08,5.010,,,34.3200,1.280,,,,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-03-09,11.010,,5.010,119.7600,6.000,,,2016-03-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-08-26,11.490,,6.950,65.3200,4.540,,,2016-08-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-09-20,5.820,,10.100,-42.3800,-4.280,,,2016-09-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-09-23,10.380,,5.820,78.3500,4.560,,,2016-09-20,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-09-30,5.010,,10.380,-51.7300,-5.370,,,2016-09-27,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-10-13,11.490,,5.010,129.3400,6.480,,,2016-10-12,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-10-14,5.010,,11.490,-56.4000,-6.480,,,2016-10-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-11-08,6.610,,4.830,36.8500,1.780,,,2016-11-07,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-11-09,4.410,,6.610,-33.2800,-2.200,,,2016-11-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-11-29,9.620,,4.220,127.9600,5.400,,,2016-11-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-11-30,4.220,,9.620,-56.1300,-5.400,,,2016-11-29,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-12-08,7.920,,4.220,87.6800,3.700,,,2016-11-30,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2016-12-09,4.130,,7.920,-47.8500,-3.790,,,2016-12-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-06-26,2.770,,4.300,-35.5800,-1.530,,,2017-04-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-07-04,4.390,,3.200,37.1900,1.190,,,2017-07-03,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-07-12,7.280,,3.440,111.6300,3.840,,,2017-07-11,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-07-13,10.900,,7.280,49.7300,3.620,,,2017-07-12,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-07-31,5.250,,10.900,-51.8300,-5.650,,,2017-07-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-08-02,10.690,,5.250,103.6200,5.440,,,2017-07-31,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-08-21,6.540,,13.470,-51.4500,-6.930,,,2017-08-03,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-08-22,3.070,,6.540,-53.0600,-3.470,,,2017-08-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-09-05,4.260,,3.190,33.5400,1.070,,,2017-08-30,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-09-07,8.850,,4.260,107.7500,4.590,,,2017-09-05,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-09-11,5.190,,10.790,-51.9000,-5.600,,,2017-09-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-09-13,3.150,,5.190,-39.3100,-2.040,,,2017-09-11,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-10-12,2.920,,2.090,39.7100,0.830,,,2017-10-09,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-11-07,1.910,,3.760,-49.2000,-1.850,,,2017-11-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-11-14,5.150,,2.370,117.3000,2.780,,,2017-11-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-11-15,8.850,,5.150,71.8400,3.700,,,2017-11-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-11-20,5.150,,8.850,-41.8100,-3.700,,,2017-11-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2017-11-23,2.810,,5.150,-45.4400,-2.340,,,2017-11-20,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2018-06-27,1.460,,0.530,175.4700,0.930,,,2018-06-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2018-08-24,0.520,,1.420,-63.3800,-0.900,,,2018-08-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2018-10-10,0.890,,0.420,111.9000,0.470,,,2018-09-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2018-10-15,2.000,,0.890,124.7200,1.110,,,2018-10-10,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2019-08-23,1.480,,1.120,32.1400,0.360,,,2019-05-13,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2020-05-06,1.300,,1.930,-32.6400,-0.630,,,2020-04-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2020-10-12,4.240,,3.100,36.7700,1.140,,,2020-09-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2020-11-03,2.880,,4.250,-32.2400,-1.370,,,2020-11-02,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2020-12-07,4.290,,3.180,34.9100,1.110,,,2020-12-01,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2021-02-22,4.290,,3.090,38.8300,1.200,,,2021-01-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2021-05-24,2.640,,3.920,-32.6500,-1.280,,,2021-05-19,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2021-05-26,1.360,,2.640,-48.4800,-1.280,,,2021-05-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2021-05-27,2.970,,1.360,118.3800,1.610,,,2021-05-26,AKSHARE,seg_4_8_92,False,False,possible_legal,
